"Gene_Symbol","ENTREZ_GENE_ID","FoldChanges"
"40425",NA,0.920284194
"40426",NA,0.776364034
"41699",55016,1.135200899
"41700",51257,0.619668257
"41701",115123,0.988734909
"41702",57574,0.987003305
"41703",54708,0.688796318
"41704",10299,0.910825174
"41705",64844,0.97618427
"41706",220972,1.086539369
"41707",92979,0.850636388
"41708",162333,1.071296328
"41709",441061,0.688383911
"41883",1731,1.19864957
"41884",4735,1.013805632
"41885",55964,0.692272612
"41886",5414,0.924201713
"41888",23157,1.002716578
"41889",989,1.763102242
"41890",23176,0.916365311
"41891",10801,1.169514734
"41892",151011,0.988200731
"41893",55752,1.056481145
"41894",124404,0.957972265
"41895",641977,1.043296947
"41897",9403,0.905948211
"41974",50514,0.948103505
"A1BG",1,0.955637824
"A1CF",29974,1.191271194
"A2BP1",54715,0.637203493
"A2LD1",87769,1.061898696
"A2M",2,0.912951396
"A2ML1",144568,1.110473682
"A4GALT",53947,1.258234083
"A4GNT",51146,0.862478183
"AAA1",404744,1.066081874
"AAAS",8086,0.972547868
"AACS",65985,0.82994412
"AACSL",729522,0.903455941
"AADAC",13,0.904558008
"AADACL1",57552,0.719191596
"AADACL2",344752,0.925400403
"AADAT",51166,1.014188912
"AAK1",22848,1.075516
"AAMP",14,0.665295725
"AANAT",15,1.04219635
"AARS",16,0.49739797
"AARS2",57505,1.039513083
"AARSD1",80755,0.756042485
"AASDH",132949,1.714891668
"AASDHPPT",60496,0.788576284
"AASS",10157,1.117295822
"AATF",26574,0.762979017
"AATK",9625,1.133173085
"ABAT",18,0.957474787
"ABCA1",19,1.015365214
"ABCA11P",79963,0.896459901
"ABCA12",26154,0.949788309
"ABCA13",154664,0.956798037
"ABCA17P",650655,0.821394926
"ABCA2",20,1.097682556
"ABCA3",21,0.465040447
"ABCA4",24,0.994337082
"ABCA5",23461,0.795529679
"ABCA6",23460,1.069092494
"ABCA7",10347,1.000772778
"ABCA8",10351,1.020425634
"ABCA9",10350,1.224897464
"ABCB1",5243,0.980380081
"ABCB10",23456,0.599324421
"ABCB11",8647,1.041480987
"ABCB4",5244,0.872560342
"ABCB5",340273,1.040639796
"ABCB6",10058,0.839898642
"ABCB7",22,1.072552393
"ABCB8",11194,1.030830578
"ABCB9",23457,1.321664961
"ABCC1",4363,0.852843687
"ABCC10",89845,1.895833272
"ABCC11",85320,1.14847039
"ABCC12",94160,1.013485286
"ABCC13",150000,1.06543138
"ABCC2",1244,1.097643627
"ABCC3",8714,1.101645651
"ABCC4",10257,0.943151246
"ABCC5",10057,0.615473899
"ABCC6",368,1.024169325
"ABCC6P1",653190,0.962504707
"ABCC8",6833,0.975859037
"ABCC9",10060,0.977091179
"ABCD1",215,1.198645212
"ABCD2",225,1.025864995
"ABCD3",5825,0.957146505
"ABCD4",5826,1.005564745
"ABCE1",6059,0.6634565
"ABCF1",23,0.691136039
"ABCF2",10061,0.849831824
"ABCF3",55324,0.77939914
"ABCG1",9619,0.947328019
"ABCG2",9429,0.933369578
"ABCG4",64137,1.332053934
"ABCG5",64240,0.99632081
"ABCG8",64241,1.003390896
"ABHD1",84696,1.12395781
"ABHD10",55347,0.598130354
"ABHD11",83451,1.081010034
"ABHD12",26090,0.774192025
"ABHD12B",145447,1.005023596
"ABHD13",84945,0.907069695
"ABHD14A",25864,0.870816943
"ABHD14B",84836,1.074974737
"ABHD2",11057,1.201870637
"ABHD3",171586,0.918387101
"ABHD4",63874,1.103948365
"ABHD5",51099,1.021010471
"ABHD6",57406,0.774962805
"ABHD7",253152,0.932270948
"ABHD8",79575,1.130840803
"ABHD9",79852,1.084599084
"ABI1",10006,0.721598979
"ABI2",10152,1.159865688
"ABI3",51225,1.169467186
"ABI3BP",25890,0.890325726
"ABL1",25,0.990082637
"ABL2",27,0.612131678
"ABLIM1",3983,1.593344362
"ABLIM2",84448,1.008022566
"ABLIM3",22885,0.99029723
"ABO",28,1.186393327
"ABP1",26,1.082224242
"ABR",29,0.687334722
"ABRA",137735,0.97952587
"ABT1",29777,0.748110567
"ABTB1",80325,1.007175432
"ABTB2",25841,0.984138416
"ACAA1",30,0.6968732
"ACAA2",10449,0.654670823
"ACACA",31,0.66133955
"ACACB",32,1.160285559
"ACAD10",80724,1.058848573
"ACAD11",27031,1.103038769
"ACAD8",27034,0.526594509
"ACAD9",28976,0.870656212
"ACADL",33,1.010433519
"ACADM",34,0.943790163
"ACADS",35,1.109316482
"ACADSB",36,0.631328911
"ACADVL",37,0.712958634
"ACAN",176,1.101704525
"ACAP1",9744,0.975099564
"ACAP2",23527,1.111487403
"ACAP3",116983,1.15169755
"ACAT1",38,0.790791852
"ACAT2",39,0.420803787
"ACBD3",64746,0.907879076
"ACBD4",79777,1.338947008
"ACBD5",91452,1.824398142
"ACBD6",84320,0.502272823
"ACCN1",40,0.682789794
"ACCN2",41,1.110865954
"ACCN3",9311,0.999691358
"ACCN4",55515,1.04019354
"ACCN5",51802,0.968466031
"ACCS",84680,0.897845184
"ACD",65057,1.306034184
"ACE",1636,0.968833222
"ACE2",59272,0.899625316
"ACER1",125981,1.110225208
"ACER3",55331,0.994056146
"ACHE",43,1.004747857
"ACIN1",22985,1.058446801
"ACLY",47,0.578294329
"ACMSD",130013,1.008314114
"ACN9",57001,0.714681842
