abbreviation	name	synonyms	equation	subsystem	compartment	ecnumber	reversible	translocation	internal_id	confidence_score	notes	
PYK	pyruvate kinase	fluorokinase (phosphorylating);, fluorokinase;, phosphoenol transphosphorylase pyruvate kinase (phosphorylating);, phosphoenolpyruvate kinase;, pyruvate kinase;, pyruvate phosphotransferase, pyruvic kinase;	[c] : adp + h + pep --> atp + pyr	Glycolysis/Gluconeogenesis	Cytosol	2.7.1.40	Irreversible	N	134355	0	-physiologically irreversible [Orten, Hum Biochem 1975]////5313://-primarily expressed in liver and RBC [UniProt]////5315://- primarily fetal [UniProt]//-cytosolic [GO]	
PGM	phosphoglycerate mutase		[c] : 2pg <==> 3pg	Glycolysis/Gluconeogenesis	Cytosol	5.4.2.1	Reversible	N	134544	0	5223://- non-muscle isozyme of phosphoglycerate mutase [UniProt]////5224://- muscle isozyme of phosphoglycerate mutase [UniProt]	
ACS	acetyl-CoA synthetase		[c] : ac + atp + coa --> accoa + amp + ppi	Glycolysis/Gluconeogenesis	Cytosol	6.2.1.1	Irreversible	N	135518	4	55902://- catalyzes irreversible reaction between acetate and ATP to acetyl-CoA [RefSeq], [Luong, J Biol Chem 2000]//- cytosolic [LocusLink], [UniProt], [Luong, J Bil Chem 2000]////65985://- annotated as 6.2.1.1 [HInv-Db]//- cytosolic [Ohgami et al,Biochem Pharmacol. 2003 Mar 15;65(6):989-94]	
ALDD2x	aldehyde dehydrogenase (acetaldehyde, NAD)		[c] : acald + h2o + nad --> ac + (2) h + nadh	Glycolysis/Gluconeogenesis	Cytosol	1.2.1.3	Irreversible	N	137132	0	216://-cytosolic [Sladek, J Biocehm Molecular Toxicology, 2003], [RefSeq]//- acetaldehdyde is known substrate; NAD is cofactor [Sladek, J Biocehm Molecular Toxicology, 2003]////8854://-cytosolic [Sladek, J Biocehm Molecular Toxicology, 2003]//- doesn't metabolize acetaldehyde very efficiently; NAD, NADP are cofactors [Sladek, J Biocehm Molecular Toxicology, 2003]////220://-cytosolic [Sladek, J Biocehm Molecular Toxicology, 2003], [UniProt]//- NAD is cofactor  [Sladek, J Biocehm Molecular Toxicology, 2003]////217, 219://- mitochondrial [Sladek, J Biocehm Molecular Toxicology, 2003], [UniProt]//- acetaldehyde is preferred substrate, NAD is cofactor [Sladek, J Biocehm Molecular Toxicology, 2003]////218://-cytosolic [Sladek, J Biocehm Molecular Toxicology, 2003]//- NAD, NADP are cofactors [Sladek, J Biocehm Molecular Toxicology, 2003]////224://- integral to ER membrane (GO)//- cytoplasmic surface of ER mem [UniProt]//- NAD, NADP are cofactors [Sladek, J Biocehm Molecular Toxicology, 2003]////221://- inferred to be associated with ER; assume its localization is similar to 224////222://- inferred to be associated with ER; assume its localization is similar to 224////501://- cytosolic localization has been inferred based on homologous protein in fish//- NAD inferred as cofactor based on homologous protein in fish////223://- cytosolic [Sladek, J Biocehm Molecular Toxicology, 2003]//- NAD, NADP are cofactors [Sladek, J Biocehm Molecular Toxicology, 2003]	
PFK	phosphofructokinase		[c] : atp + f6p --> adp + fdp + h	Glycolysis/Gluconeogenesis	Cytosol	2.7.1.11	Irreversible	N	134377	2	-muscle only contains homotetratmer of M subunits//- liver only contains homotetramer of L subunits//- platelets, white blood cells contain all 5 L,M heterotetramer combinations (4L, 3LM, 2L2M, LM3, M4) [Eto et al, Biochem Biophys Res Comm 1994]//-tetramer of randomly associated isozymes available in individual tissues [Eto et al, Biochem Biophys Res Comm 1994]//- higher proportion of P subunits found in brain, platelet, fibroids [UniProt]//- physiologically irreversible [Orten, Human Biochm 1975]	
PGK	phosphoglycerate kinase		[c] : 3pg + atp <==> 13dpg + adp	Glycolysis/Gluconeogenesis	Cytosol	2.7.2.3	Reversible	N	134578	0	5232://-testis specific [UniProt]	
FBA	fructose-bisphosphate aldolase		[c] : fdp <==> dhap + g3p	Glycolysis/Gluconeogenesis	Cytosol	4.1.2.13	Reversible	N	134019	0	226://- Aldolase A is predominantly found in adult muscle; expression is similar to aldolase C levels in brain and other nervous tissue. [RefSeq]////229://- Aldolase B is expressed in adult liver, kidney and intestine [RefSeq]////230://- Aldolase C is expressed in brain and other nervous tissue [RefSeq]	
TPI	triose-phosphate isomerase		[c] : dhap <==> g3p	Glycolysis/Gluconeogenesis	Cytosol	5.3.1.1	Reversible	N	134757	0		
G3PD2m	glycerol-3-phosphate dehydrogenase (FAD), mitochondrial		fad[m] + glyc3p[c] --> dhap[c] + fadh2[m]	Glycolysis/Gluconeogenesis	Cytosol, Mitochondria	1.1.99.5	Irreversible	Y	2373427	2	- Added by RS/TV////- mitochondrial according to GeneCards//- FAD dependent according to GeneCards//- Tissue Expression: human pancreatic islets and other tissues (Ferrer J, Aoki M, Behn P, Nestorowicz A, Riggs A, Permutt MA. Diabetes. 1996 Feb;45(2):262-6.) ////Compartmentation of FAD/FADH2 in mit matrix, but glyc3p/dhap in cytosol noted by NCD as per Brisson (11385633).//	
LDH_L	L-lactate dehydrogenase		[c] : lac-L + nad <==> h + nadh + pyr	Glycolysis/Gluconeogenesis	Cytosol	1.1.1.27	Reversible	N	135631	0	A, B subunits can form homo- or heterotetramer, which vary in tissue localization://Ldh1 (HHHH): mycoardium, RBC//Ldh2 (HHHM): myocardiam, RBC//Ldh3 (HHMM): brain, kidney//Ldh4 (HMMM)//Ldh5 (MMMM): liver, sk muscle//[Devlin, Textbook of Biochem, 2003]//[Yu et al, Biochem Pharmacol. 2001 Jul 1;62(1):81-9]////3939://- predominantly expressed in muscle [RefSeq]//-cytosolic [RefSeq]////3945://cytosolic [UniProt]////3948://- testis-specific [RefSeq]//-cytosolic [UniProt]////92483://- testis specific [UniProt]////- Additional information added by RS/TV://Cytosolic according to GeneCards////Lactate dehydrogenase (LDH) catalyzes the NAD+-dependent conversion of lactate to pyruvate during anaerobic glycolysis according to Li X. Biochem Biophys Res Commun. 2004 Jul 30;320(3):625-34. ////LDH has three major isozymes each of which has a specific tissue localization://(1) Ldha.1 predominates in skeletal muscle and the liver//(2) Ldhb.1 is highly expressed in the heart//(3) Ldhc.1, Ldhc.2 are expressed only in testes and spermatoza. ////Tissue localization according to//(1,2,3) Li X. Biochem Biophys Res Commun. 2004 Jul 30;320(3):625-34. //(3) Millan JL. Proc Natl Acad Sci USA. 1987 Aug;84(15):53111-5	
PGMT	phosphoglucomutase		[c] : g1p <==> g6p	Glycolysis/Gluconeogenesis	Cytosol	5.4.2.2	Reversible	N	136639	0	cytosolic [LocusLink]	
FBP	fructose-bisphosphatase		[c] : fdp + h2o --> f6p + pi	Glycolysis/Gluconeogenesis	Cytosol	3.1.3.11	Irreversible	N	134232	0	2203://- expressed in liver [Genatlas]////8789://- expressed in muscle [Tillmann and Eschrich, Gene 1998]	
ALCD2if	alcohol dehydrogenase, forward rxn (ethanol -> acetaldehyde)		[c] : etoh + nad --> acald + h + nadh	Glycolysis/Gluconeogenesis	Cytosol	1.1.1.1	Irreversible	N	1439131	0	- ethanol metabolism by alcohol dehydrogenases occurs in the cytosol [Salway]//- Class I isozymes are homo- and heterodimers (aa, bb, cc, ab, ac, bc) [Ramchandani et al, Pathol Biol 2001]////Also from Ramchandani paper://- 124 (formerly ADH1 alpha subunit, now ADH1A) has low ethanol catalytic efficiency//- 125 (formerly ADH2 beta subunit, now ADH1B) has high ethanol catalytic efficiency//-126 (formerly ADH3 gamma subunit, now ADH1C) has high ethanol catalytic efficiency//-127 (formerly ADH4 pi subunit, now ADH2) has low ethanol catalytic efficiency and is only expressed in the liver//-128 (formerly ADH chi subunit, now ADH3) has very low ethanol catalytic efficiency and is ubiquitously expressed//-131 (formerly ADH7 sigma subunit, now ADH4) has high ethanol catalytic efficiency and is the only gene not highly expressed in the liver, primarily expressed in stomach [UniProt]//- 130 (formerly ADH6, now ADH) ethanol catalytic activity not identified, primarily expressed in stomach, liver [UniProt]////137872://-only expressed in the liver [Deng et al, DNA Seq 2002]////285685://- cytosolic [HInv]	
